DATASET_GRADIENT
SEPARATOR SPACE
DATASET_LABEL Competition success
COLOR #ff0000

STRIP_WIDTH 50
COLOR_MIN #440154
COLOR_MAX #fde725
USE_MID_COLOR 1
COLOR_MID #22A884

DATA
#9606 10000
NCIB3610_ywqJ 0.006863
NRS6085_20190 99.91932
NRS6096_18720 99.97735
NRS6099_18530 99.95705
NRS6103_19595 97.17271
NRS6105_18260 87.52326
NRS6107_18495 25.0956
NRS6116_20135 34.31482
NRS6118_19645 3.058182
NRS6121_18495 14.66121
NRS6127_19465 99.3916
NRS6128_17930 6.327945
NRS6132_18530 75.73917
NRS6145_18235 60.06335
NRS6153_19280 27.85786
NRS6160_19380 32.90899
NRS6181_19390 83.20399
NRS6183_19675 99.0041
NRS6186_19540 99.99959
NRS6187_18525 97.36468
NRS6190_18520 15.44722
NRS6202_18635 46.7205
